gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000023328	0.15839131	-0.0027052942	0.34468222	0.025907177	0.09054379	0.05366374
ENSMUSG00000051499	0.118685946	0.16439892	0.578268	0.21039325	0.055303447	0.07057193
ENSMUSG00000108763	0.010895113	-0.12831886	-0.14693585	-0.107496955	0.028519366	-0.07745464
ENSMUSG00000049807	0.0636877	0.27698097	0.14607018	0.26369163	0.09764652	0.16205272
ENSMUSG00000022858	0.12394992	0.5481892	0.44470203	0.3289542	0.13007845	0.2506623
ENSMUSG00000066880	0.057457875	0.3471688	0.40790936	0.2144664	0.04855784	0.18165813
ENSMUSG00000021185	-0.11647715	-0.023729626	-0.25158587	0.11956226	-0.0974071	0.022514414
ENSMUSG00000024292	0.02036342	-0.123500586	0.0017554127	-0.26323032	0.070429526	-0.14147745
ENSMUSG00000074698	0.049981833	0.4468921	0.17352757	0.2966978	0.0904039	0.23542055
ENSMUSG00000027954	0.080474555	0.10112648	0.13813709	0.13692813	0.07364515	0.09309418
ENSMUSG00000021646	0.028618665	0.22431308	-0.0583279	0.25488725	0.016057836	0.0912149
ENSMUSG00000020741	-0.007308013	-0.12598105	-0.09323643	-0.049431045	-0.012208154	-0.027396
ENSMUSG00000022089	0.03434366	0.27627978	0.009845928	0.1619116	0.042631917	0.15444748
ENSMUSG00000037318	0.018376129	-0.12130947	-0.14304748	-0.17545702	-0.023514898	-0.10470055
ENSMUSG00000112276	-0.22156829	-0.15751654	-0.23068647	-0.10701034	0.024552552	-0.14829274
ENSMUSG00000117841	0.15332168	-0.0655667	0.36585802	0.045013066	0.06493275	-0.046462055
ENSMUSG00000046603	0.02171066	0.19352879	-0.15541106	0.092545666	-0.02806594	0.16924901
ENSMUSG00000015647	0.054405283	0.31656185	0.24096058	0.25891167	0.08584665	0.20028248
ENSMUSG00000086526	0.15733825	0.25232747	0.58795863	0.3106795	0.10407995	0.122711934
ENSMUSG00000031910	0.08126088	0.10470819	0.31352654	0.19443029	0.06292827	0.061184093
ENSMUSG00000032400	0.057871103	0.49798068	0.21396911	0.2938492	0.07331667	0.2634575
ENSMUSG00000035095	0.06146798	0.020939443	0.2986956	-0.032947812	0.038279444	0.06326445
ENSMUSG00000025577	0.051771946	0.2752744	0.033765834	0.14684443	0.07766651	0.18952884
ENSMUSG00000037126	0.054478347	0.12747014	0.04337987	0.11003679	0.07280786	0.056300823
ENSMUSG00000059049	0.007490829	-0.16012947	-0.1308277	-0.016886394	-0.04616668	-0.02556476
ENSMUSG00000031578	0.09818906	0.33041957	0.4991248	0.27455354	0.08984791	0.14926435
ENSMUSG00000092569	0.10518844	0.35912555	0.4098532	0.3047014	0.108929016	0.2001711
ENSMUSG00000038708	0.03699974	0.32253775	0.04747825	0.119812064	0.044803377	0.19258349
ENSMUSG00000009293	0.03714346	0.3881118	0.10328636	0.20427479	0.051864907	0.20708193
ENSMUSG00000118193	0.036877096	-0.04593705	0.0058657127	0.07778975	0.045997765	-0.06312422
ENSMUSG00000031536	0.028705766	0.2532296	-0.0061153104	0.11742434	-0.018660242	0.14132506
ENSMUSG00000000305	0.018261481	0.06824771	-0.10876953	-0.020558175	0.02797339	0.14102757
ENSMUSG00000029703	0.041953973	0.3302793	0.2042236	0.16236942	0.0529091	0.20442657
ENSMUSG00000025265	0.018251827	0.074912615	0.34577677	0.2236445	0.05062608	-0.023027992
ENSMUSG00000060427	0.03799685	0.3433969	0.23841013	0.22546957	0.008900355	0.11819196
ENSMUSG00000115164	0.01967271	-0.11149714	-0.114864916	-0.23804526	0.04519686	-0.1225202
ENSMUSG00000034936	0.13263597	0.0973029	0.3658644	0.15239677	0.07188171	0.095955044
ENSMUSG00000099871	-0.61765087	-0.61523527	-0.59706795	-0.28170833	-0.2142192	-0.27472806
ENSMUSG00000053519	0.019013664	-0.13445371	-0.14557093	-0.21913703	-0.010733593	-0.09879405
ENSMUSG00000034345	0.057905573	0.37470573	0.29364657	0.24228753	0.045219395	0.22768836
ENSMUSG00000044770	0.020614028	-0.1148281	-0.11780181	-0.034485016	0.04763443	-0.050729323
ENSMUSG00000062098	0.04720912	0.22425202	-0.038870122	0.11642495	0.07882209	0.17830224
ENSMUSG00000008999	0.021984333	0.115586266	-0.0047302726	0.020380884	0.050910443	0.16508038
ENSMUSG00000021732	0.024210239	-0.11613729	-0.1304386	0.10593525	-0.03643401	-0.031874444
ENSMUSG00000014349	0.05116283	0.4091456	0.2552807	0.18691137	0.050372962	0.18899322
ENSMUSG00000113930	-0.012363241	-0.18354736	-0.13326931	-0.12937795	0.041828003	-0.032442123
ENSMUSG00000021460	0.02091783	0.24094118	-0.14692822	0.067331746	0.04241016	0.13669842
ENSMUSG00000074653	0.05995424	0.020602785	0.40733796	0.25522718	0.014754354	-0.06697235
ENSMUSG00000052336	-0.3043639	-0.15194759	-0.33002204	-0.0743815	-0.14706391	-0.15167148
ENSMUSG00000005893	0.036788646	0.33643082	0.121826984	0.21103725	0.05765259	0.21648343
ENSMUSG00000042156	0.03523647	0.15863012	-0.023864059	0.22118998	0.05333112	0.111558065
ENSMUSG00000090336	0.016319979	-0.0627664	-0.05393406	-0.022407858	0.012885806	-0.07836479
ENSMUSG00000010066	0.03155539	0.047555532	-0.0319385	-0.017416831	0.059620284	0.13024178
ENSMUSG00000085152	0.19148485	0.098224714	0.710706	0.3316362	0.04961417	-0.059359483
ENSMUSG00000034259	0.10597466	0.36175078	0.4046361	0.15188977	0.087446325	0.2035339
ENSMUSG00000039115	0.029241113	0.07890523	0.027865767	0.22216576	0.023555841	0.05785648
ENSMUSG00000113977	0.051368017	-0.106176645	0.08943382	-0.1409104	0.0545138	-0.0794117
ENSMUSG00000024422	0.07176928	0.32132256	0.28741714	0.10394234	0.07419395	0.19177951
ENSMUSG00000001783	0.031223364	0.33474788	0.1799641	0.15422265	0.044447713	0.20082246
ENSMUSG00000092399	0.15954772	-0.039892077	0.47135052	0.07151271	0.075861506	-0.024614537
ENSMUSG00000032077	0.029173197	0.27681333	-0.015953729	0.12463662	0.037976395	0.18329968
ENSMUSG00000038212	0.028747423	0.28350464	-0.068487264	0.22989522	0.0010844095	0.15816686
ENSMUSG00000035399	0.19992915	-0.1015949	0.5247069	0.07627005	0.030415647	-0.053920284
ENSMUSG00000018846	0.06132028	0.33039492	0.26657528	0.26863283	0.08160414	0.1844677
ENSMUSG00000027905	0.072153844	0.3833946	0.29254764	0.27323866	0.0840876	0.2059193
ENSMUSG00000060904	0.047211226	0.38144663	0.0859632	0.15745881	0.07358469	0.23494175
ENSMUSG00000070871	0.044089362	0.30762818	0.13581921	0.23166074	0.071991004	0.1863549
ENSMUSG00000015837	0.0775587	0.36336622	0.62332016	0.27266702	0.044283576	0.11248094
ENSMUSG00000027002	0.040361572	0.30460137	0.07121213	0.16281028	0.045936096	0.19279596
ENSMUSG00000031166	0.02257336	0.24747139	0.12756836	0.25241107	0.07588126	0.087729104
ENSMUSG00000004393	0.05904279	0.34789035	0.262344	0.22289418	0.05662227	0.20846754
ENSMUSG00000037852	0.035616916	0.058526576	0.107230745	0.14381929	0.02315839	0.02708021
ENSMUSG00000021022	0.046563335	0.35204586	0.19498482	0.24534132	0.060063794	0.22188033
ENSMUSG00000026134	0.028915858	0.2677054	-0.06275991	0.15644124	0.047883213	0.20863844
ENSMUSG00000035566	0.021990852	-0.05022293	-0.13276234	-0.08502363	0.02603624	0.03585893
ENSMUSG00000054717	0.1515327	0.43354586	0.44905347	0.3348073	0.14571786	0.21479936
ENSMUSG00000002210	0.025062466	0.41085112	0.053940378	0.19160455	0.04700708	0.2052408
ENSMUSG00000003269	0.07276582	0.41337743	0.3572409	0.19741842	0.07599424	0.2007612
ENSMUSG00000031758	0.06131631	0.21834436	0.30666286	0.21863514	0.066426605	0.15485473
ENSMUSG00000024222	0.084402554	0.1126275	0.34942818	0.18268439	0.0578804	0.078224495
ENSMUSG00000005871	0.038451657	0.34360772	0.06083161	0.22287521	0.06737718	0.20293444
ENSMUSG00000028405	0.03238959	0.28672323	-0.046697512	0.21481758	0.050721243	0.19336234
ENSMUSG00000025178	0.03577649	0.33319467	0.15321328	0.17389888	0.05549896	0.19248892
