gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	DPY30 mean gb	DPY30 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	INTS11 mean gb	INTS11 mean promoter
ENSMUSG00000045128	0.10974465	0.20070544	0.32695216	0.15393911	0.049009822	0.047418393	0.05217673	0.09127004	0.008907169	0.003464222	0.004368088	0.05715341
ENSMUSG00000120548	0.009297024	-0.06388012	-0.06305594	-0.09902774	-0.015459625	-0.058211945	0.05450733	0.013152335	0.0073649394	-0.008934296	0.04319155	-0.030638091
ENSMUSG00000041624	0.013325913	0.08141255	-0.07714119	0.12341321	-0.034530498	0.026651364	-0.0056005185	0.118319124	0.0067075975	0.004766863	-0.040880382	0.10059666
ENSMUSG00000028865	0.077196434	0.033344053	-0.015085996	0.018970147	0.013715999	-0.026040712	0.038592745	0.07202134	0.028445987	0.0059446073	0.016572975	0.019465048
ENSMUSG00000029135	0.039370507	0.15793806	-0.032958172	0.15973407	0.013297793	0.057400342	0.040929273	0.11503921	0.019092213	0.0055519314	0.016037675	0.055749528
ENSMUSG00000038150	0.051501576	0.15263666	0.051900852	0.16931781	0.035433594	0.040662423	0.042495154	0.09146043	0.024304733	0.0031114826	0.007515512	0.057346065
ENSMUSG00000070327	0.010491628	0.041571867	-0.07975853	0.1230464	0.0019592978	-0.025360668	-0.014966354	0.039035518	-0.0027058083	0.011229136	-0.007923492	-0.016455865
ENSMUSG00000112913	0.012562075	-0.07742699	-0.085061	-0.0740044	0.0069634113	-0.032274425	-0.0014783442	-0.005635131	0.008265991	-1.0483535e-05	-0.029156363	-0.0278847
ENSMUSG00000027977	0.016916903	-0.0190273	-0.06824469	-0.012467934	-0.033905875	-0.0084311105	0.015141615	0.082106695	0.014520106	0.0018017652	0.007176406	0.019955495
ENSMUSG00000091255	-0.5122424	-0.44463715	-0.19289133	-0.4020278	-0.0021708214	0.08785257	-0.5381896	-0.7020019	-0.20566352	-0.041986603	-0.0677609	-0.1272771
