gene_id	PolII mean promoter	PolII mean gb	Pol2 mean promoter	Pol2 mean gb	Pol2ser5 mean promoter	Pol2ser5 mean gb
ENSMUSG00000075146	0.1862899999999999	0.2109889333333333	0.177843	0.252455	0.238645	0.543814
ENSMUSG00000075149	0.2779506666666667	0.3150446666666666	0.283529	0.233635	0.370206	0.666239
ENSMUSG00000075150	0.1777843333333333	0.2290663333333333	0.451023	0.259819	0.364873	0.240557
ENSMUSG00000075153	0.1851736666666666	0.1753479999999999	0.577418	0.667751	0.44087	0.419298
ENSMUSG00000075155	0.2151713333333333	0.19568728	0.460347	0.459499	0.293765	0.665708
ENSMUSG00000075158	0.2749783333333333	0.1336663333333333	0.314956	0.424759	0.0795521	0.455699
ENSMUSG00000075159	0.1931989999999999	0.1874683333333333	0.562915	0.596931	0.318208	0.537132
ENSMUSG00000075160	0.2180344666666666	0.2021856666666666	0.419942	0.420408	0.238656	0.411798
ENSMUSG00000075161	0.157905	0.202743	0.104985	0.440421	0.227101	0.250295
ENSMUSG00000075163	0.2123416666666666	0.17539	0.472434	0.358661	0.238656	0.440015
ENSMUSG00000075164	0.230838	0.2655639999999999	0.472435	0.564564	0.238656	0.379001
ENSMUSG00000075165	0.179227	0.1893516666666666	0.964553	0.417779	0.743079	0.202863
ENSMUSG00000075166	0.2565856666666666	0.2040576666666666	0.314956	0.429468	0.556865	0.236674
ENSMUSG00000075167	0.220352	0.2194033333333333	0.524926	0.45402	0.559975	0.807902
ENSMUSG00000075168	0.259122	0.2372136666666666	0.209971	0.482638	0.318208	0.34441
ENSMUSG00000075169	0.3008063333333333	0.1718740666666666	0.0884083	0.134042	0.01	0.306323
ENSMUSG00000075170	0.2762883333333333	0.2084106666666666	0.292853	0.231578	0.334208	0.53703
ENSMUSG00000075172	0.155773	0.150953	0.311157	0.419396	0.350207	0.428402
ENSMUSG00000075174	0.1981428666666666	0.200968	0.472434	0.578603	0.735523	0.418926
ENSMUSG00000075175	0.1717973333333333	0.2083393333333333	0.542885	0.32865	0.360429	0.139124
ENSMUSG00000075176	0.2201293333333333	0.1914463333333333	0.629912	0.573026	0.238656	0.346114
ENSMUSG00000075179	0.1787232333333333	0.2441793333333333	0.524927	0.412099	0.135994	0.315961
ENSMUSG00000075184	0.341047	0.2415396666666666	1.10235	0.636982	0.39776	0.51335
ENSMUSG00000075186	0.2047613333333333	0.200069	0.42823	0.855848	0.39776	0.340694
ENSMUSG00000075187	0.283948	0.2347903333333333	0.839883	0.51634	0.621751	0.592567
ENSMUSG00000075188	0.2522833333333333	0.2086386666666666	0.774322	0.484813	0.178512	0.382462
ENSMUSG00000075189	0.2576513333333333	0.215751	0.534898	0.737625	0.0795521	0.738537
ENSMUSG00000075190	0.2434426666666666	0.2186133333333333	0.668591	0.230131	0.39776	0.167795
ENSMUSG00000075193	0.258113	0.2753456666666666	0.301142	0.466601	0.238656	0.148869
ENSMUSG00000075194	0.2728866666666666	0.179019	0.0524924	0.353248	0.652416	0.253316
ENSMUSG00000075195	0.2423429999999999	0.2204576666666666	0.468635	0.351232	0.159104	0.238902
ENSMUSG00000075196	0.1593956666666666	0.1883327333333333	0.274895	0.629638	0.728413	0.574102
ENSMUSG00000075197	0.2496633333333333	0.2495246666666667	0.314955	0.378553	0.524421	0.832229
ENSMUSG00000075198	0.1703293333333333	0.244609	0.518365	0.455605	0.472424	0.609497
ENSMUSG00000075199	0.21253	0.309633	0.262463	0.586277	0.495089	0.613192
ENSMUSG00000075200	0.268588	0.264725	0.375392	0.387969	0.175992	0.575723
ENSMUSG00000075201	0.1366177666666666	0.1962893333333333	0.419941	0.543848	0.36354	0.323846
ENSMUSG00000075202	0.3178733333333333	0.1791796666666666	0.419941	0.623411	0.446203	0.466125
ENSMUSG00000075204	0.192361	0.1796723333333333	0.734898	0.358794	0.636417	0.481856
ENSMUSG00000075205	0.2074164	0.1844007333333333	0.472434	0.183647	0.477312	0.784157
ENSMUSG00000075208	0.1410943333333333	0.232169	0.157478	0.323829	0.37465	0.261738
ENSMUSG00000075209	0.277854	0.211218	0.314265	0.457296	0.406204	0.483469
ENSMUSG00000075210	0.3432773333333334	0.175256	0.314956	0.464895	1.01907	0.331255
ENSMUSG00000075211	0.2187293333333333	0.1704143333333333	0.20997	0.536291	0.795521	0.503127
ENSMUSG00000075214	0.166437	0.224326	0.580183	0.503062	0.539976	0.280446
ENSMUSG00000075215	0.2013516666666666	0.1646516666666666	0.367448	0.461534	0.368873	0.658305
ENSMUSG00000075217	0.1401131666666666	0.242452	0.262464	0.481766	0.238656	0.374297
ENSMUSG00000075218	0.2961846666666666	0.2421383333333333	0.367448	0.372909	0.370206	0.290893
ENSMUSG00000075219	0.28504	0.210025	0.419941	0.445306	0.758189	0.512891
ENSMUSG00000075221	0.1319676666666666	0.2304153333333333	0.107058	0.606559	0.720413	0.599416
ENSMUSG00000075222	0.1420526666666666	0.194203	0.690348	0.405465	0.0244434	0.437532
ENSMUSG00000075223	0.1740626666666666	0.194842	0.220676	0.554332	0.261322	0.288461
ENSMUSG00000075224	0.2084287333333333	0.228683	0.629912	0.635542	0.0484423	0.361771
ENSMUSG00000075225	1.44116	0.4912893333333333	0.75838	0.78622	0.928049	0.661882
ENSMUSG00000075229	29.985366666666664	2.6465666666666667	1.60661	0.966586	2.39761	0.895325
ENSMUSG00000075232	27.314733333333333	6.27583	2.15624	0.921874	2.1457	0.926222
ENSMUSG00000075249	0.3467453333333333	0.194064	0.577419	0.404895	0.636417	0.334024
ENSMUSG00000075254	1.6990466666666666	0.576204	2.17348	0.92122	1.79681	0.724018
ENSMUSG00000075256	0.9861063333333334	0.2602663333333333	1.23738	0.557128	1.37016	0.438273
ENSMUSG00000075265	2.25785	3.320543333333333	1.12594	1.2237	1.2179	1.46348
ENSMUSG00000075266	8.464883333333333	3.4486799999999995	2.00127	0.95431	2.28094	0.934524
ENSMUSG00000075267	0.332468	0.3107416666666666	0.665543	0.619765	0.301327	0.398708
ENSMUSG00000075269	0.354349	0.2616933333333333	0.401842	0.729776	0.377704	0.730816
ENSMUSG00000075270	1.6981366666666666	0.2699693333333333	1.42386	0.700275	1.04218	0.52111
ENSMUSG00000075271	1.7925933333333333	0.8268103333333333	1.62336	0.71134	1.48068	1.36715
ENSMUSG00000075272	1.389916666666667	0.6427706666666667	1.61589	0.702036	1.45393	0.515618
ENSMUSG00000075273	4.061133333333333	2.42398	2.09518	0.870815	1.92985	1.02942
ENSMUSG00000075277	1.8782666666666668	0.3795303333333333	1.60206	0.764492	1.57559	0.948851
ENSMUSG00000075284	4.61822	0.579136	2.5315	0.78518	2.7599	0.695771
ENSMUSG00000075286	0.3108616666666666	0.266015	0.809585	0.859354	0.575086	0.646388
ENSMUSG00000075289	0.9265193333333334	1.7632199999999998	1.37226	0.900309	1.22041	0.956321
ENSMUSG00000075296	0.2418229999999999	0.260759	0.83194	0.553119	0.773744	0.638724
ENSMUSG00000075297	0.01	0.212136	0.01	0.495948	0.01	0.452785
ENSMUSG00000075302	1.034757666666667	0.2674376666666666	0.892376	0.631953	0.954625	0.435326
ENSMUSG00000075304	0.7478319999999999	0.8761886666666667	0.674085	1.59163	0.966363	2.11532
ENSMUSG00000075307	0.7066366666666667	0.5811703333333333	0.901009	0.794336	1.28705	0.794826
ENSMUSG00000075316	1.58855	0.2217293333333333	0.844373	0.486649	1.43194	0.412565
ENSMUSG00000075318	0.2455416666666666	0.2330116666666667	0.629913	0.646825	0.553309	0.453251
ENSMUSG00000075324	4.55784	0.301786	1.57478	0.395569	2.99214	0.40845
ENSMUSG00000075325	0.195618	0.208656	0.262463	0.691099	0.629306	0.390599
ENSMUSG00000075327	16.949333333333332	2.50474	1.99511	0.907156	2.50561	0.89514
ENSMUSG00000075330	0.223699	0.2274136666666666	0.57742	0.751237	0.318208	0.426934
ENSMUSG00000075335	0.3647646666666667	0.2782293333333333	1.19283	0.645196	0.808512	0.465166
ENSMUSG00000075370	0.520185	0.28053	0.646825	0.936079	0.753138	0.963505
ENSMUSG00000075376	17.56073333333333	1.95223	2.17942	0.935646	2.04063	0.961976
ENSMUSG00000075377	0.1047074333333333	0.8575973333333332	0.367448	0.840514	0.477312	0.75326
ENSMUSG00000075378	0.1311991	0.2666223333333333	0.95661	0.507064	0.544865	0.384225
ENSMUSG00000075379	0.1245987	0.1860536666666666	0.395422	0.42048	0.318208	0.206194
ENSMUSG00000075380	0.2083546666666666	0.1564529999999999	0.734897	0.312188	0.263988	0.568825
ENSMUSG00000075382	0.1697746666666666	0.1949999999999999	0.505242	0.640721	0.558198	0.385475
ENSMUSG00000075383	0.1761023333333333	0.190414	0.524927	0.432981	0.0795521	0.385988
ENSMUSG00000075384	0.1702717666666666	0.169501	0.216877	0.228761	0.238656	0.280298
ENSMUSG00000075387	0.2342906666666666	0.1942623333333333	0.694837	0.460699	0.336874	0.328558
ENSMUSG00000075389	3.89621	1.8397766666666664	1.16191	1.26695	1.7088	1.19142
ENSMUSG00000075394	0.2486173	0.3421756666666666	0.864463	1.01579	0.291858	1.11943
ENSMUSG00000075395	0.2060883333333333	0.2487453333333333	0.629912	0.566738	0.636417	0.42927
ENSMUSG00000075402	0.291404	0.227097	0.825379	0.925456	0.353762	0.672567
ENSMUSG00000075408	2.7271933333333336	0.9615843333333332	1.21098	0.685094	1.51173	0.42185
ENSMUSG00000075410	0.6167693333333334	0.8075643333333334	1.34643	0.891874	0.598474	0.906928
ENSMUSG00000075415	10.21812	1.69191	2.002	0.98385	2.32882	0.988059
ENSMUSG00000075416	0.4138603333333333	1.061283	0.867379	1.13655	0.894246	1.10353
ENSMUSG00000075419	11.402296666666668	1.4251733333333334	1.2794	0.66982	2.17101	0.322599
ENSMUSG00000075427	0.3385643333333333	0.2189033333333333	1.28549	1.01502	0.556865	0.912962
ENSMUSG00000075437	0.2713916666666666	0.1899583333333333	0.853351	0.639788	0.310653	0.625799
ENSMUSG00000075463	7.1986	1.0848966666666666	1.37384	0.915812	2.30881	0.726921
ENSMUSG00000075467	7.701776666666666	1.7048066666666666	1.65977	0.697311	2.11616	0.791079
ENSMUSG00000075470	10.17839	1.05355	2.02846	0.893481	2.93377	0.873232
ENSMUSG00000075478	0.0929940333333333	0.3274153333333333	0.419941	0.326411	0.715969	0.365001
ENSMUSG00000075486	6.249473333333333	1.2334066666666663	1.90071	0.972532	2.37507	0.852634
ENSMUSG00000075502	5.811823333333334	1.3384066666666663	1.49466	0.423676	2.68255	0.90453
ENSMUSG00000075511	8.614546666666667	1.8788766666666668	1.54242	0.883837	2.24705	0.907732
ENSMUSG00000075512	0.25818	0.2514483333333333	0.219639	0.417437	0.238656	0.0112652
ENSMUSG00000075517	0.2171492666666666	0.16303	0.928983	0.846879	0.833741	0.799518
ENSMUSG00000075520	0.1881660666666666	0.245129	0.242779	0.525294	0.159104	0.441782
ENSMUSG00000075524	0.191024	0.3156816666666667	0.64703	1.10098	0.497312	0.963537
ENSMUSG00000075528	7.204516666666667	1.47002	2.71682	0.774128	2.18156	0.858631
ENSMUSG00000075534	0.435004	1.5193199999999998	0.394385	0.810305	0.405316	0.528262
ENSMUSG00000075538	0.1383162666666666	0.0888721333333333	0.893757	0.4007	0.200436	0.462594
ENSMUSG00000075543	0.2459002333333333	0.2799883333333333	0.940033	0.626405	0.566642	1.12386
ENSMUSG00000075549	0.1665346666666667	0.2410003333333333	0.314956	0.178465	0.240434	0.180308
ENSMUSG00000075551	0.2591806666666666	0.234962	1.17798	0.975503	0.0795521	0.850284
ENSMUSG00000075552	0.2284273333333333	0.2362533333333333	0.950656	0.997953	0.549754	0.860852
ENSMUSG00000075553	14.136766666666666	1.76539	1.93187	0.527049	2.89193	0.806219
ENSMUSG00000075555	0.4870416666666666	0.7445436666666666	1.36553	0.927734	0.540512	0.86765
ENSMUSG00000075558	1.58188	1.71687	1.02724	1.23159	0.904916	1.43785
ENSMUSG00000075569	5.515326666666667	0.9346756666666668	1.56473	0.774229	2.3271	0.692717
ENSMUSG00000075570	0.284469	0.2359919999999999	0.433755	0.662827	0.159104	0.561105
